genre,artist_name,track_name,popularity,danceability,duration_ms,energy,liveness,loudness,tempo,year
Movie,Debbie Davis,Goin' to a Gaggle,2,0.569,229147,0.68,0.11,-6.233,93.456,2012.0
Alternative,Joji,Sanctuary,83,0.552,180019,0.65,0.372,-7.199,167.788,2019.0
Alternative,Joji,SLOW DANCING IN THE DARK,81,0.515,209274,0.479,0.191,-7.458,88.964,2018.0
Alternative,Joji,YEAH RIGHT,76,0.672,174358,0.588,0.0992,-9.573,169.033,2018.0
Alternative,Joji,CAN'T GET OVER YOU (feat. Clams Casino),74,0.9,107077,0.316,0.0853,-8.797,129.914,2018.0
Alternative,Grouplove,Tongue Tied,76,0.56,218013,0.936,0.161,-5.835,112.96,2011.0
Alternative,Joji,TEST DRIVE,72,0.646,179423,0.648,0.108,-8.602,75.004,2018.0
Alternative,The Neighbourhood,Sweater Weather,75,0.612,240400,0.807,0.101,-2.81,124.053,2013.0
Country,M. Ward,Chinese Translation,54,0.555,238600,0.726,0.148,-8.939,107.719,2006.0
Country,Pistol Annies,Sugar Daddy,43,0.647,218147,0.87,0.23,-6.032,129.26,2018.0
Country,Carrie Underwood,Chaser,45,0.493,262720,0.78,0.192,-4.127,119.996,2015.0
Country,Colter Wall,Thinkin' on a Woman,47,0.417,200055,0.322,0.16,-10.992,203.84,2018.0
Country,Bobby Bare,The Winner,43,0.687,320040,0.543,0.705,-10.151,129.296,1973.0
Country,Chris Lane,Laps Around The Sun,42,0.577,212707,0.784,0.0963,-4.396,158.085,2018.0
Country,America,I Need You,58,0.528,183187,0.472,0.129,-10.428,134.099,1972.0
Country,Morgan Wallen,Yin Yang Girl,43,0.528,207827,0.904,0.0424,-4.939,170.048,2015.0
Country,Morgan Wallen,Man of the South,43,0.413,213348,0.889,0.348,-3.924,177.973,2015.0
Country,Dolly Parton,Push and Pull - from the Dumplin' Original Motion Picture Soundtrack,46,0.683,213653,0.456,0.142,-6.588,127.954,2018.0
Country,Merle Haggard,"Twinkle, Twinkle Lucky Star",44,0.659,203600,0.34,0.222,-14.976,81.64,1981.0
Country,Gillian Welch,Everything Is Free,48,0.686,288000,0.143,0.0792,-14.701,101.651,2001.0
Country,Blake Shelton,The Baby,42,0.344,235187,0.532,0.262,-6.907,172.606,2015.0
Country,Brad Paisley,You'll Never Leave Harlan Alive,44,0.544,304400,0.301,0.127,-11.091,73.322,2001.0
Country,Ryan Bingham,Pontiac,44,0.55,202647,0.859,0.37,-3.306,148.108,2019.0
Country,Dr. Hook,Cover of the Rolling Stone,54,0.648,172093,0.472,0.313,-13.103,142.184,1976.0
Country,Lee Brice,You Can't Help Who You Love,43,0.575,160240,0.616,0.118,-7.627,128.126,2017.0
Country,Chris Janson,Redneck Life,43,0.507,166000,0.961,0.226,-4.391,170.029,2017.0
Country,Kelsea Ballerini,Machine Heart,47,0.614,189107,0.625,0.11,-5.814,115.003,2018.0
Country,LeAnn Rimes,One Way Ticket (Because I Can),44,0.696,223973,0.778,0.13,-7.28,119.93,1996.0
Country,Alabama,40 Hour Week (For A Livin'),43,0.578,201027,0.44,0.145,-14.644,85.213,1986.0
Country,Turnpike Troubadours,The Winding Stair Mountain Blues,43,0.416,207040,0.917,0.173,-5.302,123.951,2017.0
Country,Clint Black,Put Yourself In My Shoes,42,0.737,193093,0.41,0.25,-11.088,104.647,1996.0
Country,Lorrie Morgan,Except for Monday,42,0.649,175733,0.596,0.0624,-12.043,170.134,1995.0
Country,David Allan Coe,Roll On 18 Wheeler,43,0.592,244708,0.46,0.0918,-11.275,136.132,2005.0
Country,John Prine,Pretty Good,45,0.581,216867,0.455,0.619,-14.154,129.943,1971.0
Country,Alabama,The Cheap Seats,42,0.677,234093,0.598,0.201,-12.983,140.616,1993.0
Country,Clint Black,Desperado - (Live),42,0.424,244093,0.313,0.951,-11.334,115.084,1996.0
Country,Nick Lowe,Cruel To Be Kind,45,0.692,206800,0.569,0.101,-13.246,131.154,1989.0
Country,Chris Young,Woke Up Like This,42,0.525,188573,0.768,0.0884,-5.86,143.985,2017.0
Country,Dixie Chicks,Am I the Only One (Who's Ever Felt This Way),44,0.65,205618,0.627,0.07,-5.004,132.08,1998.0
Country,Miranda Lambert,Sin for a Sin,41,0.301,208200,0.78,0.225,-4.389,173.876,2009.0
Country,Dolly Parton,Baby I'm Burnin',48,0.745,156960,0.828,0.0967,-9.576,133.942,1978.0
Country,Tim McGraw,Southern Voice,42,0.63,242427,0.877,0.113,-4.106,112.051,2010.0
Country,Miranda Lambert,Bathroom Sink,42,0.454,245907,0.827,0.114,-6.318,132.687,2014.0
Country,LeAnn Rimes,The Right Kind Of Wrong,49,0.677,227440,0.781,0.0762,-6.282,95.03,2000.0
Country,Blake Shelton,My Eyes (feat. Gwen Sebastian),42,0.453,190213,0.587,0.109,-7.584,145.334,2015.0
Country,David Lee Murphy,I Won't Be Sorry,42,0.481,255040,0.867,0.0469,-3.54,125.027,2018.0
Country,Dwight Yoakam,A Thousand Miles from Nowhere,0,0.601,268386,0.831,0.321,-5.946,116.901,2019.0
Country,Alan Jackson,That'd Be Alright,45,0.672,221760,0.731,0.0661,-8.791,134.376,1989.0
Country,The Judds,Love Is Alive,42,0.698,238507,0.381,0.106,-11.281,86.302,1984.0
Country,Turnpike Troubadours,Sunday Morning Paper,42,0.571,250310,0.607,0.114,-6.335,92.204,2017.0
Country,Miranda Lambert,Another Sunday in the South,42,0.515,230853,0.685,0.102,-6.127,170.075,2014.0
Country,Kyle Park,Leavin' Stephenville,42,0.527,208440,0.823,0.216,-3.892,97.978,2011.0
Country,Pistol Annies,Cheyenne,42,0.358,256333,0.626,0.111,-7.138,158.819,2018.0
Country,Restless Heart,Why Does It Have to Be (Wrong or Right),41,0.752,179373,0.488,0.0491,-11.498,88.945,1998.0
Country,JB and The Moonshine Band,Perfect Girl,42,0.639,196599,0.694,0.127,-6.104,74.988,2010.0
Country,Kellie Pickler,Didn't You Know How Much I Loved You,41,0.525,285187,0.795,0.098,-4.696,137.881,2008.0
Country,Dave Rawlings Machine,"To Be Young (Is To Be Sad, Is To Be High)",45,0.356,228200,0.793,0.0909,-6.707,178.203,2009.0
Country,Jameson Rodgers,Like You've Been There Before,41,0.626,216760,0.713,0.0902,-4.58,131.952,2018.0
Country,Miranda Lambert,Love Song,41,0.422,169867,0.549,0.0778,-4.266,74.925,2009.0
Country,Rittz,Bounce,49,0.827,235147,0.725,0.182,-9.866,129.984,2014.0
Country,Carrie Underwood,Clock Don't Stop,45,0.613,201400,0.78,0.128,-2.236,125.023,2015.0
Country,Johnny Cash,Understand Your Man,44,0.649,162400,0.506,0.0723,-13.185,92.166,2005.0
Country,Johnny Cash,I Still Miss Someone,46,0.521,155573,0.311,0.187,-11.262,180.19,1963.0
Country,George Jones,The King Is Gone (So Are You),42,0.755,201293,0.279,0.0575,-14.788,116.821,1998.0
Country,Miranda Lambert,Old Sh!t,41,0.423,165200,0.507,0.102,-8.6,184.364,2014.0
Country,Brett Eldredge,On And On,42,0.685,188467,0.581,0.101,-6.179,183.895,2013.0
Country,Kelsea Ballerini,Music,46,0.529,203360,0.632,0.119,-6.432,189.821,2018.0
Country,Jamey Johnson,Keepin' Up With The Jonesin',41,0.543,204747,0.545,0.318,-4.519,127.977,2006.0
Country,Buddy Jewell,Help Pour Out the Rain (Lacey's Song),41,0.565,229093,0.562,0.0994,-7.43,75.035,2003.0
Country,Marty Robbins,Utah Carol,45,0.648,193400,0.35,0.22,-10.68,169.865,1959.0
Country,Matthew Sweet,Girlfriend,52,0.529,219800,0.714,0.0772,-6.315,120.598,1991.0
Country,Lee Brice,Songs In The Kitchen,42,0.469,210147,0.571,0.0872,-7.723,160.01,2017.0
Country,Lee Brice,That Way Again,42,0.372,295333,0.179,0.108,-11.466,112.472,2012.0
Country,Miranda Lambert,Oklahoma Sky,41,0.597,287213,0.178,0.108,-13.968,123.248,2011.0
Country,Morgan Wallen,Stand Alone,42,0.458,249755,0.545,0.119,-6.248,147.939,2015.0
Country,Dolly Parton,Rockin' Years,44,0.582,206307,0.211,0.141,-15.67,80.601,1991.0
Country,Eddie Money,Shakin',49,0.635,188200,0.893,0.179,-5.251,113.454,1977.0
Country,William Clark Green,This Is Us,42,0.512,215467,0.563,0.134,-7.132,84.858,2018.0
Country,Marty Robbins,The Strawberry Roan,44,0.535,203933,0.416,0.152,-11.418,167.339,1959.0
Country,Dolly Parton,The Bargain Store,46,0.716,161840,0.363,0.135,-10.942,96.639,1975.0
Country,Alabama,Down Home,42,0.626,207360,0.493,0.0576,-11.66,154.851,2004.0
Country,John Prine,Lonesome Friends of Science,44,0.703,281308,0.234,0.122,-13.833,129.803,2018.0
Country,Miranda Lambert,Look at Miss Ohio,41,0.546,258093,0.466,0.107,-8.065,122.016,2011.0
Country,Turnpike Troubadours,The Hard Way,42,0.469,173330,0.882,0.174,-5.249,144.932,2017.0
Country,Colter Wall,Calgary Round-Up,46,0.747,214570,0.371,0.0838,-10.943,120.219,2018.0
Alternative,Linkin Park,In the End,80,0.542,216933,0.853,0.108,-6.407,105.256,2000.0
Alternative,Joji,NO FUN,71,0.809,168418,0.483,0.221,-6.886,96.974,2018.0
Alternative,Foo Fighters,Everlong,74,0.412,250547,0.882,0.0805,-5.54,158.066,1997.0
Alternative,MGMT,Electric Feel,74,0.763,229640,0.807,0.348,-3.714,103.038,2007.0
Alternative,Tierra Whack,MY POWER,60,0.773,259742,0.86,0.236,-4.966,126.967,2019.0
Alternative,Linkin Park,Numb,78,0.496,185587,0.863,0.639,-4.153,110.018,2003.0
Alternative,System Of A Down,Chop Suey!,77,0.419,210240,0.934,0.132,-3.908,127.288,2001.0
Alternative,grandson,Blood // Water,68,0.504,214520,0.891,0.148,-5.632,153.988,2018.0
Alternative,Red Hot Chili Peppers,Californication,78,0.592,329733,0.767,0.127,-2.788,96.483,1999.0
Alternative,Frank Ocean,Chanel,73,0.776,210285,0.503,0.112,-5.732,110.134,2017.0
Alternative,Rage Against The Machine,Killing In The Name,75,0.466,313573,0.833,0.0327,-4.215,88.785,1992.0
Alternative,Toploader,Dancing in the Moonlight - 2001 Remix,63,0.748,233573,0.842,0.357,-3.107,119.023,2000.0
Alternative,Joji,Will He,70,0.618,202103,0.217,0.538,-15.372,116.013,2018.0
Alternative,Joji,ATTENTION,70,0.787,128888,0.312,0.115,-12.401,119.899,2018.0
Alternative,Bad Wolves,Zombie,70,0.448,254805,0.826,0.117,-3.244,77.093,2018.0
Alternative,Nickelback,Rockstar,65,0.616,252040,0.91,0.343,-3.004,144.073,2005.0
Alternative,Nickelback,How You Remind Me,75,0.446,223840,0.764,0.099,-5.042,172.094,2001.0
Alternative,KALEO,Way Down We Go,73,0.489,213707,0.505,0.104,-8.022,163.255,2016.0
Alternative,Incubus,Drive,69,0.645,232453,0.792,0.119,-7.34,90.565,1999.0
Alternative,Foo Fighters,The Pretender,73,0.433,269373,0.959,0.028,-4.04,172.984,2007.0
Alternative,Lit,My Own Worst Enemy,69,0.494,169027,0.946,0.398,-2.757,103.408,1999.0
Alternative,Slipknot,Duality,73,0.354,252613,0.982,0.204,-3.026,143.772,2004.0
Alternative,Theory of a Deadman,Rx (Medicate),68,0.639,233173,0.71,0.118,-7.445,119.989,2017.0
Alternative,Red Hot Chili Peppers,Scar Tissue,73,0.595,215907,0.717,0.108,-4.803,88.969,1999.0
Alternative,System Of A Down,Toxicity,74,0.413,218933,0.873,0.204,-4.151,116.681,2001.0
Alternative,Pearl Jam,Even Flow,72,0.394,292581,0.944,0.298,-6.506,105.338,1991.0
Alternative,Red Hot Chili Peppers,Otherside,75,0.458,255373,0.795,0.0756,-3.265,123.229,1999.0
Alternative,Rage Against The Machine,Bulls On Parade,70,0.412,229467,0.919,0.424,-7.291,166.367,1996.0
Alternative,Alice In Chains,Would?,69,0.305,206773,0.832,0.091,-7.981,100.677,1992.0
Alternative,Three Days Grace,Animal I Have Become,69,0.553,231400,0.853,0.126,-3.668,122.023,2006.0
Alternative,Eve 6,Inside Out,64,0.483,219467,0.818,0.367,-7.666,175.668,1998.0
Alternative,Pearl Jam,Alive,73,0.284,340907,0.875,0.402,-6.069,75.009,1991.0
Alternative,Dominic Fike,Açaí Bowl,65,0.687,177400,0.439,0.109,-8.347,91.972,2019.0
Alternative,Doja Cat,Juicy,67,0.77,199587,0.697,0.0663,-2.644,170.084,2019.0
Alternative,MGMT,Kids,73,0.451,302840,0.931,0.361,-3.871,122.961,2007.0
Alternative,Audioslave,Like a Stone,72,0.614,293960,0.568,0.0997,-5.477,107.849,2002.0
Alternative,Joji,WANTED U,66,0.305,251015,0.715,0.0906,-7.54,82.977,2018.0
Alternative,Alice In Chains,Rooster,65,0.269,374333,0.551,0.118,-8.456,144.408,1992.0
Alternative,Foo Fighters,Learn to Fly,71,0.465,235293,0.919,0.262,-4.025,135.997,1999.0
Alternative,Slipknot,Before I Forget,71,0.291,278600,0.974,0.886,-2.997,134.724,2004.0
Alternative,Young the Giant,Superposition,68,0.593,230960,0.697,0.14,-5.416,170.0,2018.0
Alternative,Joji,R.I.P. (feat. Trippie Redd),65,0.716,158726,0.515,0.136,-9.651,99.284,2018.0
Alternative,311,Amber,65,0.659,211080,0.727,0.1,-8.638,166.163,2004.0
Alternative,Freddie Gibbs,Palmolive (feat. Pusha T & Killer Mike),64,0.33,245333,0.603,0.307,-7.571,168.456,2019.0
Alternative,Linkin Park,One Step Closer,70,0.492,157333,0.969,0.0787,-4.419,95.136,2000.0
Alternative,System Of A Down,B.Y.O.B.,71,0.556,255467,0.981,0.218,-2.688,101.423,2005.0
Alternative,Joji,Demons,65,0.464,176804,0.378,0.0966,-11.354,164.486,2018.0
Alternative,Foo Fighters,Best of You,71,0.366,255627,0.94,0.188,-5.119,130.198,2005.0
Alternative,Slipknot,The Devil In I,68,0.398,342821,0.939,0.357,-2.865,92.027,2014.0
Alternative,Crossfade,Cold,64,0.451,194227,0.815,0.27,-5.55,147.974,2004.0
Alternative,Modest Mouse,Float On,69,0.649,208467,0.888,0.0888,-4.807,100.975,2004.0
Alternative,Joji,COME THRU,63,0.66,153169,0.596,0.109,-8.207,77.026,2018.0
Alternative,Franz Ferdinand,Take Me Out,71,0.278,237027,0.676,0.136,-8.821,104.545,2004.0
Alternative,Pearl Jam,Jeremy,70,0.285,318227,0.846,0.182,-6.472,108.808,1991.0
Alternative,Doja Cat,Tia Tamera (feat. Rico Nasty),65,0.814,212813,0.675,0.182,-4.594,119.867,2019.0
Alternative,Foo Fighters,All My Life,69,0.58,263440,0.604,0.477,-5.703,167.784,2002.0
Alternative,The Strokes,Last Nite,65,0.624,193373,0.899,0.0975,-5.71,104.055,2001.0
Alternative,Three Days Grace,Riot,66,0.185,207587,0.948,0.105,-3.892,196.578,2006.0
Alternative,System Of A Down,Aerials,70,0.364,235053,0.922,0.0696,-4.217,79.342,2001.0
Alternative,Audioslave,Show Me How to Live,68,0.433,277840,0.854,0.162,-3.868,89.4,2002.0
Alternative,Linkin Park,Crawling,70,0.58,208960,0.702,0.536,-5.565,105.076,2000.0
Alternative,Spin Doctors,Two Princes,69,0.543,256733,0.912,0.0565,-10.71,103.731,1991.0
Alternative,Incubus,Pardon Me,63,0.579,223747,0.812,0.115,-6.509,152.002,1999.0
Alternative,Slipknot,All Out Life,70,0.499,340132,0.97,0.0871,-2.838,106.558,2018.0
Alternative,Shinedown,DEVIL,65,0.354,207987,0.942,0.431,-3.245,119.992,2018.0
Alternative,grandson,Apologize,64,0.535,198694,0.836,0.102,-5.593,85.005,2019.0
Alternative,Three Days Grace,Never Too Late,66,0.433,209333,0.778,0.163,-4.68,149.864,2006.0
Alternative,Korn,Freak On a Leash,69,0.353,255733,0.898,0.39,-5.877,103.293,1998.0
Alternative,for KING & COUNTRY,God Only Knows,64,0.597,229760,0.417,0.128,-7.952,143.839,2018.0
Alternative,Red Hot Chili Peppers,Dark Necessities,70,0.7,302000,0.742,0.11,-6.777,91.959,2016.0
Alternative,Linkin Park,Papercut,69,0.524,184867,0.939,0.623,-3.994,150.184,2000.0
Alternative,Shinedown,MONSTERS,63,0.487,248373,0.9,0.11,-4.54,149.959,2018.0
Alternative,Joji,XNXX,63,0.388,127318,0.52,0.113,-8.354,84.851,2018.0
Alternative,Foo Fighters,My Hero,66,0.374,260027,0.927,0.0575,-4.212,154.047,1997.0
Alternative,Pearl Jam,Black,71,0.36,342653,0.684,0.34,-6.457,77.15,1991.0
Alternative,The Strokes,Someday,65,0.538,183440,0.52,0.367,-7.46,106.031,2001.0
Alternative,Peter Bjorn and John,Young Folks,61,0.701,279027,0.815,0.0969,-5.995,138.142,2007.0
Alternative,MGMT,Time to Pretend,68,0.438,261000,0.94,0.3,-3.249,100.99,2007.0
Alternative,Joji,I'LL SEE YOU IN 40,61,0.411,253781,0.377,0.222,-9.553,139.881,2018.0
Alternative,Dominic Fike,She Wants My Money,63,0.704,133560,0.478,0.0875,-6.562,128.789,2018.0
Alternative,The Strokes,Reptilia,68,0.486,219754,0.666,0.101,-5.084,157.992,2003.0
Alternative,Francis and the Lights,May I Have This Dance (Remix) [feat. Chance the Rapper],60,0.784,195356,0.435,0.0913,-9.197,90.033,2017.0
Alternative,Janelle Monáe,Make Me Feel,67,0.859,194230,0.413,0.334,-7.399,115.035,2018.0
Alternative,Joji,I Don't Wanna Waste My Time,63,0.287,164430,0.234,0.123,-17.86,74.454,2018.0
Alternative,GoldLink,Days Like This (feat. Khalid),67,0.805,168933,0.496,0.103,-7.294,159.917,2019.0
Alternative,Incubus,Wish You Were Here,62,0.246,212733,0.768,0.102,-7.48,169.873,2001.0
Alternative,Pantera,Walk,69,0.43,315120,0.704,0.0933,-8.008,118.242,1992.0
Alternative,GoldLink,"U Say (feat. Tyler, The Creator & Jay Prince)",66,0.694,200801,0.665,0.117,-7.626,115.068,2019.0
Alternative,The Black Keys,Walk Across The Water,68,0.418,235842,0.583,0.238,-7.296,79.594,2019.0
Alternative,Rage Against The Machine,Guerrilla Radio,66,0.599,206200,0.957,0.155,-5.764,103.68,1999.0
Alternative,The Neighbourhood,Afraid,65,0.464,251187,0.701,0.335,-5.693,83.996,2013.0
Alternative,The Raconteurs,"Steady, As She Goes",67,0.524,215267,0.578,0.108,-4.563,123.669,2006.0
Alternative,Three Days Grace,Pain,64,0.416,202973,0.741,0.273,-4.001,160.515,2006.0
Alternative,STRFKR,Rawnald Gregory Erickson the Second,59,0.9,173693,0.538,0.287,-7.879,95.508,2008.0
Alternative,Shinedown,GET UP,62,0.552,245787,0.935,0.116,-4.096,74.954,2018.0
Alternative,Souls Of Mischief,93 'Til Infinity,67,0.59,286440,0.672,0.147,-11.792,206.247,1993.0
Alternative,Kid Rock,Cowboy,60,0.608,257867,0.897,0.108,-2.921,166.652,1998.0
Alternative,Kid Rock,Bawitdaba,61,0.551,265840,0.939,0.109,-5.371,90.592,1998.0
Alternative,Joji,worldstar money (interlude),60,0.577,126312,0.387,0.208,-8.607,146.565,2017.0
Alternative,KONGOS,Come with Me Now,67,0.654,211960,0.726,0.0618,-3.803,103.987,2014.0
Alternative,Foo Fighters,Monkey Wrench,65,0.399,231480,0.953,0.149,-4.276,174.216,1997.0
Alternative,Ween,Ocean Man,64,0.72,126947,0.912,0.0982,-6.13,122.782,1997.0
Alternative,Tayla Parx,Runaway (feat. Khalid),60,0.626,238033,0.527,0.372,-9.371,151.657,2018.0
Alternative,KALEO,All The Pretty Girls,64,0.466,269893,0.496,0.117,-6.606,74.747,2016.0
Alternative,Bad Wolves,Remember When,60,0.433,209302,0.973,0.0813,-4.82,171.955,2018.0
Alternative,Daveed Diggs,What'd I Miss,60,0.539,236701,0.577,0.14,-7.762,177.786,2015.0
Alternative,Linkin Park,Heavy (feat. Kiiara),67,0.59,169801,0.671,0.0604,-6.098,149.982,2017.0
Alternative,grandson,Despicable,63,0.576,223893,0.782,0.467,-6.167,87.971,2018.0
Alternative,Blood Orange,Dark & Handsome,65,0.584,153750,0.389,0.319,-12.315,79.976,2019.0
Alternative,Gorillaz,Humility (feat. George Benson),64,0.632,197933,0.807,0.125,-5.893,160.174,2018.0
Alternative,Weezer,Africa,64,0.534,238627,0.784,0.106,-3.59,92.147,2019.0
Alternative,System Of A Down,Lonely Day,68,0.47,167907,0.796,0.133,-3.277,113.108,2005.0
Alternative,The Black Keys,Shine A Little Light,67,0.44,196777,0.719,0.0663,-6.645,111.398,2019.0
Alternative,Pearl Jam,Yellow Ledbetter,66,0.504,303587,0.354,0.157,-11.3,140.87,1991.0
Alternative,Janelle Monáe,I Like That,64,0.482,200338,0.453,0.149,-8.864,134.799,2018.0
Alternative,Faith No More,Epic,65,0.358,293653,0.893,0.126,-7.486,174.238,1989.0
Alternative,The Black Keys,Lo/Hi,66,0.606,177768,0.679,0.0962,-7.445,122.016,2019.0
Alternative,Joji,Pills,60,0.421,187134,0.407,0.117,-10.732,80.748,2018.0
Alternative,Stone Temple Pilots,Plush - 2017 Remaster,59,0.426,313947,0.94,0.14,-5.279,144.49,1992.0
Alternative,Korn,Falling Away from Me,66,0.468,270920,0.769,0.271,-7.036,104.102,1999.0
Alternative,Dominic Fike,King of Everything,60,0.636,194360,0.474,0.113,-8.096,167.064,2018.0
Alternative,Poolside,Harvest Moon,63,0.782,368784,0.622,0.58,-5.832,106.022,2012.0
Alternative,Audioslave,Cochise,64,0.452,222027,0.873,0.0592,-4.867,80.473,2002.0
Alternative,Soul Asylum,Runaway Train,66,0.613,265867,0.72,0.104,-7.957,117.341,1992.0
Alternative,Staind,Mudshovel,60,0.328,282093,0.826,0.0818,-5.085,106.606,1999.0
Alternative,Linkin Park,Faint,65,0.554,162600,0.978,0.0731,-3.554,135.095,2003.0
Alternative,Dominic Fike,Rollerblades,60,0.566,134067,0.448,0.0956,-8.739,110.802,2019.0
Alternative,Nickelback,Animals,57,0.572,186600,0.961,0.207,-3.089,76.998,2005.0
Alternative,GoldLink,Maniac,63,0.812,189613,0.606,0.173,-6.768,132.976,2019.0
Alternative,Slipknot,Wait and Bleed,67,0.382,147840,0.996,0.417,-4.119,93.345,2009.0
Alternative,Rage Against The Machine,Testify,63,0.47,210133,0.978,0.356,-5.399,117.906,1999.0
Alternative,Audioslave,I Am the Highway,63,0.341,334907,0.662,0.113,-5.023,174.875,2002.0
Alternative,Alice In Chains,Them Bones,60,0.159,149467,0.946,0.387,-5.756,164.997,1992.0
Alternative,Cake,The Distance,62,0.463,179653,0.749,0.0558,-8.118,183.048,1996.0
Alternative,Doja Cat,MOOO!,60,0.878,286517,0.407,0.111,-10.941,89.011,2018.0
Alternative,The Black Keys,Go,64,0.478,146597,0.666,0.336,-7.766,149.974,2019.0
Alternative,Stone Temple Pilots,Creep - 2017 Remaster,58,0.662,334387,0.485,0.086,-9.161,107.767,1992.0
Alternative,311,Beautiful Disaster,58,0.576,238400,0.738,0.13,-8.122,168.132,1997.0
Alternative,Better Than Ezra,Good,59,0.615,185093,0.657,0.132,-6.873,109.95,1995.0
Alternative,System Of A Down,Sugar,64,0.451,153800,0.889,0.258,-2.693,131.073,1998.0
Alternative,Solange,Almeda,63,0.827,236120,0.553,0.176,-5.296,110.015,2019.0
Alternative,Freddie Gibbs,Crime Pays,62,0.608,182680,0.699,0.242,-8.267,146.941,2019.0
Alternative,Cake,Short Skirt / Long Jacket,61,0.778,204133,0.899,0.0263,-6.552,119.995,2001.0
Alternative,Korn,Got the Life,65,0.501,225307,0.905,0.383,-5.721,123.277,1998.0
Alternative,Pearl Jam,Daughter (Remastered),65,0.615,234333,0.702,0.0608,-9.686,96.99,1993.0
Alternative,Run The Jewels,Legend Has It,57,0.828,205867,0.564,0.0966,-7.084,120.967,2016.0
Alternative,The Neighbourhood,Scary Love,65,0.595,222667,0.636,0.196,-5.981,112.008,2018.0
Alternative,Tom Morello,Can't Stop The Bleeding (feat. Gary Clark Jr. & Gramatik),56,0.523,278298,0.896,0.183,-3.221,188.137,2019.0
Alternative,Young the Giant,Heat of the Summer,61,0.602,211387,0.856,0.098,-5.558,80.021,2018.0
Alternative,Passion Pit,Sleepyhead,62,0.568,174760,0.719,0.233,-5.406,106.036,2009.0
Alternative,Red Hot Chili Peppers,Soul to Squeeze,62,0.663,289533,0.546,0.107,-5.234,88.171,2003.0
Alternative,Gorillaz,Saturnz Barz (feat. Popcaan),62,0.383,181907,0.621,0.427,-5.878,80.051,2017.0
Alternative,for KING & COUNTRY,joy.,61,0.68,233947,0.536,0.113,-6.669,119.958,2018.0
Alternative,The Black Keys,Eagle Birds,65,0.512,160543,0.78,0.0856,-4.946,93.998,2019.0
